School,Total New Cases,Total Cumulative Cases,Total New Exposures,Total Cumulative Exposures
District,54,171,741,1849
Akins,2,2,1,1
ALC,0,1,0,0
Allison,0,4,0,18
Anderson,0,0,0,40
Andrews,1,2,19,31
Ann Richards YWLA,1,4,3,14
Austin,7,16,307,526
Bailey,0,1,0,0
Baldwin,0,0,0,0
Baranoff,0,0,0,0
Barrington,0,0,0,0
Barton Hills,0,1,0,0
Bear Creek,0,1,0,17
Becker,0,0,0,0
Bedichek,0,1,0,0
Blackshear,0,0,0,0
Blanton,0,0,0,0
Blazier,3,9,27,61
Boone,0,2,0,7
Bowie,0,5,0,57
Brentwood,0,1,0,8
Bryker Woods,1,2,0,5
Burnet,0,0,0,0
Campbell,0,0,0,0
Casey,0,1,0,12
Casis,0,2,0,5
Clayton,0,0,0,0
Clifton Center,0,0,0,0
Cook,0,1,0,6
Covington,0,0,0,0
Cowan,0,3,0,11
Crockett,0,3,0,12
Cunningham,0,0,0,0
Davis,0,1,0,12
Dawson,0,0,0,0
Dobie,0,2,0,7
Doss,1,2,10,10
Eastside Memorial,1,2,15,17
Galindo,2,2,26,26
Garcia YMLA,1,1,8,8
Garza Independence,0,1,0,7
Gorzycki,0,0,0,0
Govalle,1,2,16,25
Graduation Preparatory Academy at Navarro ECHS,0,0,0,0
Graduation Preparatory Academy at Travis ECHS,1,1,0,0
Graham,1,1,12,12
Guerrero-Thompson,0,0,0,0
Gullett,0,0,0,0
Harris,0,0,0,0
Hart,0,2,0,16
Highland Park,0,0,0,0
Hill,0,1,0,4
Houston,0,2,0,4
International HS,0,0,0,0
Jordan,0,0,0,0
Joslin,0,1,0,3
Kealing,0,1,0,6
Kiker,0,1,0,13
Kocurek,0,0,0,0
Lamar,0,4,0,26
Langford,1,4,6,19
LASA,1,1,11,11
LBJ ECHS,1,2,47,47
Lee,2,3,9,10
Linder,1,1,0,0
Lively,2,3,27,38
Maplewood,1,1,0,0
Martin,1,3,1,9
Mathews,0,0,0,0
McBee,1,1,4,4
McCallum,0,5,0,114
Menchaca,0,1,0,13
Mendez,0,1,0,0
Metz,0,0,0,0
Mills,0,1,0,9
Murchison,1,5,0,17
Navarro ECHS,1,1,4,4
Norman-Sims,0,0,0,0
Northeast ECHS,0,2,0,18
O. Henry,0,1,0,0
Oak Hill,1,1,8,8
Oak Springs,0,0,0,0
Odom,1,1,11,11
Ortega,1,2,4,18
Overton,0,1,0,1
Padron,0,2,0,7
Palm,1,2,4,13
Paredes,0,1,0,0
Patton,1,1,18,18
Pecan Springs,0,0,0,0
Perez,0,0,0,0
Pickle,0,0,0,0
Pillow,0,0,0,0
Pleasant Hill,0,0,0,0
Reilly,0,0,0,0
Ridgetop,0,0,0,0
Rodriguez,0,0,0,0
Rosedale School,0,0,0,0
Sadler Means YWLA,0,0,0,0
Sanchez,0,0,0,0
Small,0,0,0,0
St. Elmo,0,0,0,0
Summitt,0,3,0,93
Sunset Valley,0,0,0,0
T.A. Brown,1,1,0,0
Travis ECHS,2,4,70,150
Travis Heights,1,2,0,34
Uphaus ECS,1,1,13,13
Walnut Creek,0,2,0,33
Webb,0,1,0,0
Widen,1,1,1,1
Williams,2,5,18,58
Winn,0,1,0,8
Wooldridge,1,1,35,35
Wooten,0,2,0,0
Zavala,0,0,0,0
Zilker,0,1,0,1
Central Office,0,2,0,0
Other,4,8,6,7
